,latitude,longitude,restaurant_name
0,54.347416,-6.653351,Subway
1,54.999886,-7.321655,Subway
2,54.85172,-5.817676,Subway
3,54.604053,-5.874427,Subway
4,54.59902,-5.93011,McDonald's
5,55.07017,-6.517333,Subway
6,54.84631,-5.806312,Subway
7,52.449776,-3.539362,Subway
8,51.664776,-3.926015,Subway
9,51.64147,-3.976681,Subway
10,53.249043,-3.133177,Subway
11,51.855892,-4.309234,Subway
12,51.80217,-4.96807,Subway
13,53.08525,-2.970283,Subway
14,52.509323,-3.321543,Subway
15,55.4295,-4.685859,Burger King
16,55.507576,-3.695996,Burger King
17,55.60846,-4.501974,Wimpy
18,55.76068,-4.175509,Subway
19,55.788525,-4.275501,Subway
20,55.790688,-3.992869,Subway
21,55.80137,-4.388066,Subway
22,55.804783,-4.340812,Subway
23,55.81971,-4.03937,Subway
24,55.82029,-4.0417,Subway
25,55.826077,-4.265127,Subway
26,55.84691,-4.42261,Subway
27,55.859253,-4.251654,Subway
28,55.862118,-4.025072,Subway
29,55.869156,-3.686821,Subway
30,55.941525,-4.317459,Subway
31,56.006065,-3.729933,Subway
32,56.07198,-3.46076,Subway
33,56.115765,-3.789716,Subway
34,56.31956,-3.013229,Subway
35,57.190243,-3.829096,Subway
36,57.48608,-1.80396,McDonald's Peterhead
37,55.686565,-1.934456,Burger King
38,55.02052,-1.53761,McDonald's Asda Longbenton
39,55.00816,-1.578698,Subway
40,55.006294,-1.620047,Subway
41,54.974167,-1.617247,Subway
42,54.957027,-1.669004,Subway
43,54.94694,-1.515702,Burger King
44,54.90855,-1.41412,Subway
45,54.9016,-1.404908,Subway
46,54.89393,-2.944622,Subway
47,54.84418,-1.471807,Subway
48,54.814014,-1.376569,KFC
49,54.79448,-1.590508,Subway
50,54.728767,-1.52257,McDonald's
51,54.691803,-1.208319,Subway
52,54.66181,-1.67535,Subway
53,54.656914,-3.553405,Subway
54,54.535233,-1.075309,Subway
55,54.52418,-1.216166,Burger King
56,54.52267,-1.526906,Subway
57,54.231976,-0.325547,Burger King
58,54.049404,-2.799353,Subway
59,54.0454,-2.79982,Subway Penny St
60,54.008015,-1.467514,Subway
61,54.004124,-0.437898,Subway
62,53.96225,-2.759312,Burger King
63,53.882732,-1.265876,Subway
64,53.87065,-3.04254,Subway
65,53.855972,-3.023667,Subway
66,53.843113,-3.032851,Subway
67,53.842033,-2.399531,Subway
68,53.83522,-1.771433,McDonald's Shipley
69,53.833107,-2.220655,Subway
70,53.83179,-1.640423,Subway
71,53.817616,-3.05164,Subway - Winter Gardens
72,53.806877,-3.029727,Subway
73,53.805626,-1.452831,KFC
74,53.802208,-1.542821,Burger King
75,53.801456,-3.010876,Subway
76,53.79898,-3.050964,Subway
77,53.79503,-0.345376,McDonaldâ€™s
78,53.794914,-3.055813,Subway
79,53.76866,-0.35552,Subway
80,53.7672,-1.70915,KFC
81,53.761593,-2.589348,Subway
82,53.75876,-2.697982,Subway
83,53.753857,-2.366329,Subway
84,53.750614,-2.496275,Subway
85,53.74957,-2.482578,Subway
86,53.747475,-0.271422,Subway
87,53.72214,-2.662213,Subway
88,53.716267,-1.778709,McDonald's Brighouse
