,latitude,longitude,restaurant_name
40,55.686565,-1.934456,Burger King
299,55.02052,-1.53761,McDonald's Asda Longbenton
350,55.00816,-1.578698,Subway
361,55.006294,-1.620047,Subway
577,54.974167,-1.617247,Subway
769,54.957027,-1.669004,Subway
805,54.94694,-1.515702,Burger King
906,54.90855,-1.41412,Subway
964,54.9016,-1.404908,Subway
1010,54.89393,-2.944622,Subway
1115,54.84418,-1.471807,Subway
1170,54.814014,-1.376569,KFC
1195,54.79448,-1.590508,Subway
1286,54.728767,-1.52257,McDonald's
1321,54.691803,-1.208319,Subway
1417,54.66181,-1.67535,Subway
1432,54.656914,-3.553405,Subway
1831,54.535233,-1.075309,Subway
1883,54.52418,-1.216166,Burger King
1898,54.52267,-1.526906,Subway
2541,54.231976,-0.325547,Burger King
2923,54.049404,-2.799353,Subway
2970,54.0454,-2.79982,Subway Penny St
3007,54.008015,-1.467514,Subway
3025,54.004124,-0.437898,Subway
3228,53.96225,-2.759312,Burger King
3667,53.882732,-1.265876,Subway
3742,53.87065,-3.04254,Subway
3810,53.855972,-3.023667,Subway
3899,53.843113,-3.032851,Subway
3909,53.842033,-2.399531,Subway
3984,53.83522,-1.771433,McDonald's Shipley
4009,53.833107,-2.220655,Subway
4024,53.83179,-1.640423,Subway
4181,53.817616,-3.05164,Subway - Winter Gardens
4305,53.806877,-3.029727,Subway
4310,53.805626,-1.452831,KFC
4350,53.802208,-1.542821,Burger King
4363,53.801456,-3.010876,Subway
4414,53.79898,-3.050964,Subway
4566,53.79503,-0.345376,McDonaldâ€™s
4573,53.794914,-3.055813,Subway
4857,53.76866,-0.35552,Subway
4875,53.7672,-1.70915,KFC
4916,53.761593,-2.589348,Subway
4949,53.75876,-2.697982,Subway
5032,53.753857,-2.366329,Subway
5083,53.750614,-2.496275,Subway
5097,53.74957,-2.482578,Subway
5136,53.747475,-0.271422,Subway
5460,53.72214,-2.662213,Subway
5501,53.716267,-1.778709,McDonald's Brighouse
5661,53.69644,-1.507305,Subway
5873,53.66477,-1.446312,Subway
5971,53.649647,-2.627308,Subway
6039,53.646706,-1.782688,Subway
6285,53.600662,-2.573017,Burger King - M61 Services
6374,53.592308,-0.645693,Subway
6509,53.578457,-2.428239,Subway
6527,53.576584,-2.429273,Subway
6555,53.57259,-1.21828,McDonald's
6594,53.56878,-3.048351,Subway
6603,53.568024,-1.472388,KFC Wakefield Road
6645,53.56564,-2.893117,Subway
6647,53.56559,-0.683751,Subway
6954,53.541065,-2.114809,Subway
6978,53.53771,-2.288776,Subway
6991,53.536163,-2.682604,Subway
7043,53.52796,-2.158169,Subway
7087,53.524185,-2.491601,Subway
7115,53.52305,-0.065914,Subway
7190,53.513126,-2.246128,Subway
7192,53.51271,-2.212177,Subway
7196,53.512524,-2.340491,Subway
7238,53.506622,-1.10732,Subway
7288,53.49951,-3.005372,Subway
7565,53.482464,-2.330281,Subway
7574,53.48226,-2.246699,Subway
7660,53.480217,-2.244894,Subway
7710,53.478592,-2.231867,Subway
7743,53.47728,-2.240709,Subway
7811,53.472797,-2.239708,Subway
7842,53.46976,-2.282555,Subway
7862,53.467617,-2.249099,Subway
7890,53.46565,-2.348805,Subway
7934,53.461346,-2.288669,Subway
7941,53.460766,-2.221575,Subway
8069,53.451687,-2.990379,Subway
8112,53.44789,-2.02468,McDonald's Mottram
8141,53.445576,-2.191818,Subway
8219,53.440556,-1.32255,Subway
8235,53.439304,-2.970853,Subway
8338,53.42871,-2.121165,Subway
8367,53.426064,-2.9973,Subway
8395,53.424236,-2.979958,Subway
8431,53.42128,-1.282823,Subway
8439,53.42099,-3.029684,Subway
8508,53.415638,-2.232236,Subway
8512,53.41547,-2.638184,Subway
8621,53.41051,-2.8452,Subway
8672,53.408966,-2.257135,Subway
8697,53.408028,-1.367094,Subway
8795,53.40512,-2.98188,McDonald's
8833,53.40392,-2.983244,Subway - Hanover Street
8893,53.402023,-2.972901,Subway
8894,53.40195,-2.97277,Subway
8920,53.400997,-2.964051,Subway
8934,53.400513,-2.965312,KFC
8949,53.399967,-2.596653,Subway
8986,53.398346,-2.542835,Subway
9057,53.39372,-1.257134,Subway
9091,53.391644,-2.872536,Subway
9101,53.391247,-2.194842,Subway
9115,53.39054,-2.859933,Subway
9187,53.388477,-2.593573,Subway
9415,53.378967,-2.263879,Subway
9434,53.37824,-2.75282,Subway
9613,53.367115,-0.003042,Subway
9774,53.357037,-2.165585,Subway
9804,53.353405,-2.893741,KFC Garston Liverpool
9905,53.34198,-1.350813,Subway
9946,53.339005,-2.730799,Subway
9960,53.336918,-2.214937,Subway
10100,53.31562,-1.282929,Subway
10108,53.31511,-1.281409,Burger King
10117,53.313175,-2.965154,Subway
10221,53.289806,-2.907925,Subway
