,ID,latitude,longitude
0,114950,53.61751,-0.97381
1,138780,52.401,-1.2481
2,122056,51.61568,-1.78336
3,124732,52.2808,0.04714
4,143397,55.8547,-4.55088
5,123275,52.0179,-0.653
6,124400,51.66395,-0.91325
7,139313,52.04309,-0.68676
8,115560,55.04041,-1.6384
9,124191,51.82634,-0.84601
10,107847,51.57549,-0.17696
11,129430,51.23013,-1.47115
12,130392,51.44521,0.28713
13,107854,51.58037,-0.17851
14,128183,51.78019,0.1457
15,134480,51.88754,-1.18859
16,107903,51.61298,-0.21451
17,140762,55.93877,-4.11966
18,137622,51.10566,-0.25899
19,139323,52.02627,-0.80886
20,129471,51.00177,-1.47901
21,129473,51.21271,-1.45894
22,124040,52.08808,-0.45658
23,134429,52.91319,-1.11644
24,134773,51.65919,-1.39223
25,107778,51.56675,-0.19123
26,124483,52.16986,0.11556
27,125878,52.9658,-1.53509
28,126290,50.74259,-3.40464
29,145380,51.52145,-3.55536
30,107848,51.58224,-0.18417
31,119387,53.4005,-2.64487
32,128949,50.91987,-1.27612
33,140914,55.7778,-4.35325
34,107920,51.63259,-0.21229
35,109040,51.66691,-0.15001
36,109603,51.57442,-0.1602
37,108540,51.56832,-0.15887
38,123227,51.39479,-0.96706
39,143992,55.81757,-4.13526
40,124605,52.23337,-0.23966
41,140845,55.9505,-2.78014
42,119386,53.39965,-2.65421
43,124130,51.83164,-0.78473
44,131133,53.67262,-2.65271
45,133092,52.49707,-0.63872
46,107894,51.65043,-0.23722
47,123956,52.13301,-0.51258
48,124105,51.90874,-0.59348
49,128848,51.32684,-1.06645
50,129962,51.79674,-0.35525
51,123298,52.07742,-0.80262
52,130289,51.11291,0.88435
53,108526,51.56442,-0.17962
54,134774,51.6031,-1.29181
55,125169,53.26282,-2.52774
56,129156,51.28179,-0.85622
57,138989,52.19458,-0.06473
58,139315,52.04126,-0.69924
59,144329,55.89644,-3.45944
60,122160,51.51294,-1.76931
61,124698,52.1948,-0.02457
62,136308,51.33724,-0.3451
63,137674,51.00536,-0.14053
64,121052,51.40012,-2.37398
65,129790,51.69024,-0.30821
66,141095,55.90471,-3.13095
67,122846,51.38723,-1.30623
68,124856,53.17239,-2.33303
69,130106,51.63095,-0.43361
70,132548,53.26828,-0.6502
71,137271,52.26567,-1.54384
72,110446,51.50443,-0.20668
73,112175,51.53743,-0.18014
74,128893,51.14088,-1.03706
75,129443,50.96109,-1.4267
76,133398,52.1157,-0.98985
77,123154,51.39653,-0.67262
78,123175,51.42084,-0.84543
79,123188,51.3744,-0.87604
80,123226,51.4026,-0.9762
81,124043,52.09396,-0.52882
82,133367,52.04049,-1.14623
83,136421,51.22678,-0.56513
84,142676,55.91359,-3.09353
85,139319,51.99316,-0.79503
86,140940,55.76934,-4.34943
87,121023,51.36634,-2.6091
88,122743,51.43625,-0.77341
89,123159,51.39605,-0.87631
90,137565,51.06934,-0.36587
91,145965,51.5868,-2.89131
92,111363,51.45673,-0.27423
93,123349,52.05139,-0.84885
94,124325,51.61731,-0.75378
95,124723,52.15807,0.06464
96,127538,50.88245,0.25334
97,130104,51.62217,-0.42469
98,130696,51.27822,0.23792
99,111034,51.42938,-0.21557
100,113375,53.34024,-2.16807
101,122741,51.41811,-0.78428
102,123283,51.97607,-0.72662
103,129791,51.67158,-0.30797
104,137102,52.34043,-1.2985
105,138992,52.21765,-0.05757
106,139241,52.36364,-0.22583
107,145214,51.6725,-3.94223
108,107842,51.59164,-0.20481
109,110064,51.60184,-0.44371
110,123907,52.06358,-0.47648
111,124906,53.05982,-2.55857
112,133542,55.15465,-1.67379
113,134281,53.12191,-1.1852
114,134783,51.68089,-1.42201
115,136825,51.28381,-0.04549
116,138660,51.40731,-0.94942
117,124235,51.70349,-0.5635
118,126279,52.87211,-1.54648
119,128692,51.81217,-2.2888
120,129755,51.78,-0.12877
121,129793,51.68985,-0.32562
122,134481,51.87221,-1.12368
123,137534,51.13131,-0.15016
124,146032,51.49742,-3.27701
125,107849,51.58558,-0.1694
126,108512,51.55851,-0.18468
127,108524,51.55256,-0.17219
128,109817,51.62337,-0.33072
129,124482,52.17554,0.11489
130,124925,53.0653,-2.39753
131,128805,51.29973,-1.04916
132,129516,50.93041,-1.25361
133,134529,52.03618,-1.3266
134,136549,51.18299,-0.17804
135,138753,50.88114,-1.23726
136,108523,51.55569,-0.1701
137,127086,54.76593,-1.59235
138,130077,51.65297,-0.48068
139,135492,52.71355,-1.77
140,107853,51.57795,-0.19248
141,107902,51.62325,-0.23502
142,128899,51.03989,-0.98109
143,129557,51.12143,-1.33321
144,138663,51.40691,-0.81908
145,109045,51.66462,-0.17327
146,123157,51.387,-0.90545
147,124278,51.62271,-0.60266
148,129833,51.64321,-0.28379
149,133000,52.60563,1.23843
150,136554,51.29214,-0.20168
151,137060,52.53144,-1.43266
152,137150,52.27228,-1.72474
153,139055,51.91374,-0.64
154,110529,51.42057,-0.268
155,111658,51.33715,-0.217
156,118715,53.70948,-1.37761
157,123151,51.39076,-0.65053
158,124122,51.80269,-0.73023
159,124741,52.13486,-0.01286
160,124873,53.21727,-2.37768
161,129977,51.76117,-0.29691
162,133471,55.33242,-1.6443
163,134531,51.93806,-1.19193
164,136273,51.3659,-0.35878
165,136657,51.40357,-0.59264
166,137143,52.19009,-1.78279
167,139509,51.4577,0.03368
168,108511,51.55991,-0.19143
169,111033,51.43551,-0.21814
170,112179,51.53138,-0.18086
171,120884,52.9743,-2.16243
172,124954,53.06772,-2.43986
173,125053,53.23643,-2.22798
174,128389,51.96579,0.21786
175,129647,51.73638,-0.49949
176,133561,55.03483,-1.79627
177,136269,51.32284,-0.39867
178,136271,51.33741,-0.38312
179,137167,52.12218,-1.74375
180,137638,51.05686,-0.20222
181,139284,54.63475,-1.3585
182,123079,51.54523,-0.77417
183,123894,51.99435,-0.45619
184,123913,52.0665,-0.54956
185,124236,51.5961,-0.5605
186,124247,51.65164,-0.56042
187,124282,51.62195,-0.62942
188,125038,53.33148,-2.19848
189,128115,51.64799,0.06273
190,133375,52.17631,-0.82096
191,134761,51.64506,-1.31281
192,136961,51.30428,-0.58254
193,139051,52.00019,-0.24286
194,139056,52.06797,-0.61636
195,142139,55.84232,-4.11206
196,144047,55.78532,-4.16387
197,112177,51.53425,-0.18457
198,114973,53.36392,-1.33653
199,115007,53.38853,-1.37475
200,124303,51.58863,-0.5403
201,129431,51.01898,-1.44597
202,130702,51.26079,0.18108
203,131463,53.77848,-2.77547
204,133130,52.29302,-0.82864
205,134784,51.67165,-1.49365
206,135741,52.81087,-2.08052
207,136275,51.3561,-0.37758
208,138099,52.30188,-2.08289
209,139371,51.53954,-0.00445
210,144383,55.86379,-3.70492
211,109534,51.47363,-0.18548
212,110530,51.4172,-0.25497
213,121481,51.48293,-2.43243
214,122669,51.40648,0.54253
215,124245,51.63735,-0.57615
216,124362,51.5888,-0.88232
217,128076,51.63116,0.08499
218,128132,51.67054,0.03015
219,128408,51.86684,0.27061
220,134696,51.59322,-1.24195
221,136310,51.33855,-0.36804
222,136335,51.38491,-0.35535
223,136457,51.19161,-0.44038
224,141431,55.98118,-3.37318
225,142667,55.8693,-3.09695
226,145986,51.5923,-3.06054
227,108720,51.34018,-0.13452
228,123187,51.36391,-0.85019
229,124187,51.8359,-0.61701
230,124974,53.01876,-2.42812
231,128688,51.76231,-2.29497
232,134757,51.73649,-1.31613
233,136272,51.34291,-0.405
234,136505,51.28164,-0.34771
235,138536,51.34664,-0.21063
236,141668,56.07316,-3.41196
237,142975,55.79988,-3.94128
238,107899,51.61511,-0.23994
239,107904,51.6207,-0.24732
240,115999,54.86166,-1.50277
241,120799,52.65669,-2.48478
242,121463,51.42613,-2.6469
243,122836,51.43057,-1.27198
244,124251,51.74172,-0.66603
245,124317,51.54198,-0.68239
246,124326,51.68104,-0.83666
247,127877,51.77361,0.47203
248,127948,51.75804,0.4958
249,128010,51.91123,0.89425
250,128126,51.67419,0.17519
251,129276,50.81656,-1.60899
252,130689,51.20183,0.18731
253,131604,53.70902,-2.70677
254,132089,52.75164,-1.4635
255,138164,52.31231,-1.96427
256,138719,51.27682,0.40643
257,139360,51.58978,-0.24528
258,108653,51.31029,-0.15
259,109705,51.6226,-0.30026
260,112226,51.52308,-0.18064
261,115217,53.32902,-1.55547
262,120800,52.67145,-2.48498
263,121384,51.46265,-2.65803
264,123138,51.51759,-0.70792
265,124306,51.57282,-0.56074
266,127370,50.91856,-0.10566
267,128538,51.67101,-1.92854
268,129966,51.81614,-0.36826
269,130400,51.45775,0.22682
270,131471,53.79998,-2.76541
271,132085,52.68739,-1.5153
272,134767,51.57321,-1.46901
273,137181,52.20032,-1.67144
274,139497,55.06593,-1.79087
275,143929,55.75603,-4.07294
276,145492,51.48469,-3.3546
277,146137,51.53257,-3.13113
278,108324,51.41935,0.04736
279,110403,51.50414,-0.19835
280,110443,51.50092,-0.19805
281,111355,51.4796,-0.24427
282,111620,51.44746,-0.07892
283,120809,52.6842,-2.47458
284,121562,51.53344,-2.58869
285,122044,50.70728,-1.9405
286,122809,51.4924,-1.13583
287,124139,51.99135,-0.98082
288,124375,51.56725,-0.79302
289,124744,52.26029,-0.14361
290,124810,53.17587,-2.86389
291,126423,50.70488,-3.49438
292,128724,51.83328,-2.1971
293,128897,51.10287,-1.0542
294,129545,51.0936,-1.37518
295,131804,52.60342,-1.21619
296,133563,55.11007,-1.72337
297,134798,51.70885,-1.29082
298,136262,51.36096,-0.32651
299,136311,51.32575,-0.36605
300,136819,51.30331,-0.06493
301,136902,51.1714,-0.50133
302,138285,52.25295,-2.15107
303,138637,51.42693,-0.72086
304,139316,52.00476,-0.80636
305,139336,52.66428,1.18302
306,140545,56.48074,-3.06786
307,141516,56.05195,-3.77421
308,119384,53.39754,-2.62836
309,123144,51.46949,-0.64648
310,123980,52.09862,-0.41959
311,124237,51.71246,-0.66327
312,124715,52.22693,0.0872
313,125125,53.29205,-2.05659
314,129165,51.29918,-0.97025
315,129754,51.83499,-0.09604
316,130118,51.64375,-0.48812
317,130212,51.716,-0.12813
318,131538,53.85,-2.43204
319,131981,52.44052,-1.17178
320,134115,53.33286,-1.14231
321,136772,51.34553,-0.63382
322,136796,51.26251,0.00749
323,139288,54.61768,-1.353
324,139309,52.05192,-0.70609
325,143128,55.88735,-4.0919
326,143191,55.98874,-4.00549
327,108280,51.40231,0.05374
328,108675,51.36904,-0.07299
329,109589,51.58362,-0.15894
330,117164,52.41834,-1.6961
331,123204,51.45825,-0.87616
332,123887,52.08156,-0.24632
333,124281,51.60975,-0.65549
334,124756,52.07563,-0.12062
335,124855,53.15647,-2.2585
336,125122,53.28654,-2.16114
337,126238,52.90334,-1.57877
338,126791,50.83224,-1.84998
