,latitude,longitude
0,53.61751,-0.97381
1,52.401,-1.2481
2,51.61568,-1.78336
3,52.2808,0.04714
4,55.8547,-4.55088
5,52.0179,-0.653
6,51.66395,-0.91325
7,52.04309,-0.68676
8,55.04041,-1.6384
9,51.82634,-0.84601
10,51.57549,-0.17696
11,51.23013,-1.47115
12,51.44521,0.28713
13,51.58037,-0.17851
14,51.78019,0.1457
15,51.88754,-1.18859
16,51.61298,-0.21451
17,55.93877,-4.11966
18,51.10566,-0.25899
19,52.02627,-0.80886
20,51.00177,-1.47901
21,51.21271,-1.45894
22,52.08808,-0.45658
23,52.91319,-1.11644
24,51.65919,-1.39223
25,51.56675,-0.19123
26,52.16986,0.11556
27,52.9658,-1.53509
28,50.74259,-3.40464
29,51.52145,-3.55536
30,51.58224,-0.18417
31,53.4005,-2.64487
32,50.91987,-1.27612
33,55.7778,-4.35325
34,51.63259,-0.21229
35,51.66691,-0.15001
36,51.57442,-0.1602
37,51.56832,-0.15887
38,51.39479,-0.96706
39,55.81757,-4.13526
40,52.23337,-0.23966
41,55.9505,-2.78014
42,53.39965,-2.65421
43,51.83164,-0.78473
44,53.67262,-2.65271
45,52.49707,-0.63872
46,51.65043,-0.23722
47,52.13301,-0.51258
48,51.90874,-0.59348
49,51.32684,-1.06645
50,51.79674,-0.35525
51,52.07742,-0.80262
52,51.11291,0.88435
53,51.56442,-0.17962
54,51.6031,-1.29181
55,53.26282,-2.52774
56,51.28179,-0.85622
57,52.19458,-0.06473
58,52.04126,-0.69924
59,55.89644,-3.45944
60,51.51294,-1.76931
61,52.1948,-0.02457
62,51.33724,-0.3451
63,51.00536,-0.14053
64,51.40012,-2.37398
65,51.69024,-0.30821
66,55.90471,-3.13095
67,51.38723,-1.30623
68,53.17239,-2.33303
69,51.63095,-0.43361
70,53.26828,-0.6502
71,52.26567,-1.54384
72,51.50443,-0.20668
73,51.53743,-0.18014
74,51.14088,-1.03706
75,50.96109,-1.4267
76,52.1157,-0.98985
77,51.39653,-0.67262
78,51.42084,-0.84543
79,51.3744,-0.87604
80,51.4026,-0.9762
81,52.09396,-0.52882
82,52.04049,-1.14623
83,51.22678,-0.56513
84,55.91359,-3.09353
85,51.99316,-0.79503
86,55.76934,-4.34943
87,51.36634,-2.6091
88,51.43625,-0.77341
89,51.39605,-0.87631
90,51.06934,-0.36587
91,51.5868,-2.89131
92,51.45673,-0.27423
93,52.05139,-0.84885
94,51.61731,-0.75378
95,52.15807,0.06464
96,50.88245,0.25334
97,51.62217,-0.42469
98,51.27822,0.23792
99,51.42938,-0.21557
100,53.34024,-2.16807
101,51.41811,-0.78428
102,51.97607,-0.72662
103,51.67158,-0.30797
104,52.34043,-1.2985
105,52.21765,-0.05757
106,52.36364,-0.22583
107,51.6725,-3.94223
108,51.59164,-0.20481
109,51.60184,-0.44371
110,52.06358,-0.47648
111,53.05982,-2.55857
112,55.15465,-1.67379
113,53.12191,-1.1852
114,51.68089,-1.42201
115,51.28381,-0.04549
116,51.40731,-0.94942
117,51.70349,-0.5635
118,52.87211,-1.54648
119,51.81217,-2.2888
120,51.78,-0.12877
121,51.68985,-0.32562
122,51.87221,-1.12368
123,51.13131,-0.15016
124,51.49742,-3.27701
125,51.58558,-0.1694
126,51.55851,-0.18468
127,51.55256,-0.17219
128,51.62337,-0.33072
129,52.17554,0.11489
130,53.0653,-2.39753
131,51.29973,-1.04916
132,50.93041,-1.25361
133,52.03618,-1.3266
134,51.18299,-0.17804
135,50.88114,-1.23726
136,51.55569,-0.1701
137,54.76593,-1.59235
138,51.65297,-0.48068
139,52.71355,-1.77
140,51.57795,-0.19248
141,51.62325,-0.23502
142,51.03989,-0.98109
143,51.12143,-1.33321
144,51.40691,-0.81908
145,51.66462,-0.17327
146,51.387,-0.90545
147,51.62271,-0.60266
148,51.64321,-0.28379
149,52.60563,1.23843
150,51.29214,-0.20168
151,52.53144,-1.43266
152,52.27228,-1.72474
153,51.91374,-0.64
154,51.42057,-0.268
155,51.33715,-0.217
156,53.70948,-1.37761
157,51.39076,-0.65053
158,51.80269,-0.73023
159,52.13486,-0.01286
160,53.21727,-2.37768
161,51.76117,-0.29691
162,55.33242,-1.6443
163,51.93806,-1.19193
164,51.3659,-0.35878
165,51.40357,-0.59264
166,52.19009,-1.78279
167,51.4577,0.03368
168,51.55991,-0.19143
169,51.43551,-0.21814
170,51.53138,-0.18086
171,52.9743,-2.16243
172,53.06772,-2.43986
173,53.23643,-2.22798
174,51.96579,0.21786
175,51.73638,-0.49949
176,55.03483,-1.79627
177,51.32284,-0.39867
178,51.33741,-0.38312
