,latitude,longitude,town,cluster,sub_cluster
581,55.51118,-1.705801,Chathill,-1,0
582,55.51128,-1.705701,Chathill,-1,0
730,54.591627,-1.01794,Redcar and Cleveland,-1,0
910,51.571359,-2.498436,Alveston,-1,0
933,51.44985,0.03238,Eltham,-1,0
938,51.02292,-0.45286,Billingshurst,-1,0
956,54.943122,-1.471095,Boldon Colliery,-1,0
972,55.186146,-1.516851,Newbiggin-by-the-Sea,-1,0
976,55.581262,-1.654252,Seahouses,-1,0
1000,53.297381,-2.977038,Hooton,-1,0
1011,53.083959,-1.571127,wirksworth,-1,0
1018,54.950218,-1.450006,Boldon,-1,0
1038,54.946606,-1.440561,East Boldon,-1,0
1042,54.986812,-1.429263,South Shields ,-1,0
1044,55.23177,-2.176804,Otterburn,-1,0
1051,51.82262,-0.82654,Aylesbury Vale,-1,0
1052,51.820621,-0.82654,Aylesbury Vale,-1,0
1055,52.752815,0.399387,Clough Lane,-1,0
1056,52.752808,0.399263,Clough Lane,-1,0
1066,50.887409,0.31832,Herstmonceux,-1,0
1067,51.022919,-0.45286, Billingshurst,-1,0
1082,52.516411,-0.72504,Rockingham,-1,0
1088,51.668209,-2.63051,Forest of Dean,-1,0
1091,51.8755,-2.2685,Over,-1,0
1104,51.990749,-1.70075,Cotswold,-1,0
1111,54.943119,-1.47109,Boldon Colliery,-1,0
1112,54.944851,-1.36446,Whitburn,-1,0
1136,53.451618,-2.63689,Earlestown,-1,0
1139,51.46962,-2.659059,Abbots Leigh,-1,0
1141,53.40926,-3.0171,Seacombe,-1,0
1142,53.409161,-3.0171,Seacombe,-1,0
1154,52.646339,-2.47237,Lightmoor Village,-1,0
1157,52.420929,-1.43903,Walsgrave Hospital,-1,0
1158,52.4231,-1.43646,Walsgrave Hospital,-1,0
1165,50.443901,-4.47058,Liskeard,-1,0
1172,53.7127,-1.34831,Glasshoughton,-1,0
1185,53.507359,-2.94461,Maghull,-1,0
1191,53.470299,-3.02928,Waterloo,-1,0
1194,53.70211,-1.65131,Halifax Road,-1,0
1212,53.01841,-1.48571,Belper,-1,0
1215,51.149712,0.88952,Javelin Way,-1,0
1235,53.452999,-2.61134,Newton Le Willows,-1,0
1243,53.452991,-2.61134,Newton Le Willows,-1,0
1268,50.939091,-1.47087,Adanac Drive,-1,0
1292,54.92012,-1.398392,Southwick,-1,0
1326,54.920021,-1.398392,Southwick,-1,0
1335,51.442638,-2.61318,Southville,-1,0
1415,54.821938,-1.450834,Hetton Le Hole,-1,0
1417,55.773659,-2.007072,Berwick Upon Tweed,-1,0
1418,55.773628,-2.007034,Berwick Upon Tweed,-1,0
1438,55.145515,-2.252005,Bellingham,-1,0
1440,54.82106,-1.45475,Hetton Le Hole,-1,0
1455,54.966267,-2.098696,South Park,-1,0
1456,54.936008,-1.371349,Seaburn,-1,0
1490,53.516811,-2.1517,Hollinwood,-1,0
1491,53.516811,-2.1517,Hollinwood,-1,0
1514,51.308529,-0.75605,Hawley Estate,-1,0
1530,53.48365,-2.122049,Ashton-Under-Lyne,-1,0
1542,53.49017,-2.08746,Ashton,-1,0
1543,53.49017,-2.08746,Ashton,-1,0
1544,53.483673,-2.122092,Ashton-Under-Lyne,-1,0
1545,53.488956,-2.098,Ashton Under Lyne,-1,0
1566,53.545288,-2.136462,Chadderton,-1,0
1567,53.545288,-2.136472,Chadderton,-1,0
1568,53.37701,-2.220729,Cheadle,-1,0
1613,53.489933,-2.091627,Ashton Under Lyne,-1,0
1618,53.442699,-2.422695,Irlam,-1,0
1619,53.442699,-2.422795,Irlam,-1,0
1664,53.624447,-2.160246,Whitehall Street,-1,0
1701,53.458839,-2.28754,Stretford,-1,0
1702,53.458939,-2.28754,Stretford,-1,0
1733,54.591621,-1.01794,Marske By The Sea,-1,0
1734,54.591621,-1.01794,Marske By The Sea,-1,0
1735,54.766499,-1.56974,Durham University Science Site,-1,0
1804,54.94635,-1.68026,Whickham,-1,0
1812,52.534531,-2.11662,Sedgley,-1,0
1848,53.624439,-2.16015,Whitehall Street,-1,0
1867,55.183472,-1.54645,Wansbeck,-1,0
1873,55.58123,-1.65419,Seahouses,-1,0
1885,54.994493,-1.431935,South shields,-1,0
1960,54.70753,-7.59209,Castlederg,-1,1
1972,54.5137,-6.0538,Lisburn,-1,2
1982,55.200932,-6.253492,Ballycastle,-1,-1
1983,55.204278,-6.522941,Bushmills,-1,-1
2012,54.652793,-5.800031,Holywood,-1,2
2043,54.619116,-6.213713,Crumlin,-1,2
2044,54.37878,-7.31583,Fivemiletown,-1,1
2048,54.257196,-5.94465,Castlewellan,-1,2
2051,54.3821,-5.5476,Newtownards,-1,2
2053,54.41549,-6.148853,Dromore,-1,2
2054,54.5045,-6.027934,Lisburn,-1,2
2055,54.694836,-6.018496,Templepatrick,-1,2
2057,54.4921,-6.06013,Hillsborough,-1,2
2081,54.71188,-6.09218,Templepatrick,-1,2
2091,54.99311,-7.31973,Derry City,-1,1
2105,54.47229,-7.63004,Irvinestown,-1,1
2106,54.47229,-7.63004,Irvinestown,-1,1
2123,54.466053,-6.084082,Down,-1,2
2124,54.09896,-6.254488,Down,-1,2
2125,54.717053,-5.810334,Carrickfergus,-1,2
2142,56.833729,-2.464344,Laurencekirk,-1,0
2143,55.797225,-4.619703,Gourock,-1,0
2144,57.493574,-2.442582,Turriff,-1,0
2151,56.150584,-3.788263,Alva,-1,0
2155,55.806714,-5.482817,Tarbert,-1,0
2157,55.627781,-6.189654,Isle of Islay,-1,-1
2170,55.840714,-3.03456,Gorebridge,-1,0
2175,54.83519,-4.05245,Kirkcudbright,-1,0
2219,56.054618,-3.299662,Kelty,-1,0
2222,56.111498,-3.345593,Cowdenbeath,-1,0
2225,56.221572,-2.696623,Anstruther,-1,0
2233,56.194028,-2.996805,Leven,-1,0
2236,56.05496,-4.2256,Balfron,-1,0
2266,57.652306,-3.593384,Forres,-1,0
2267,57.647124,-3.319648,Elgin,-1,0
2274,55.977219,-4.05751,"Croy, Kilsyth",-1,0
2275,55.97722,-4.05752,"Croy, Kilsyth",-1,0
2278,55.946658,-3.985006,Cumbernauld,-1,0
2279,55.946659,-3.985007,Cumbernauld,-1,0
2284,55.77166,-3.927234,Wishaw,-1,0
2285,55.771661,-3.927235,Wishaw,-1,0
2309,56.559525,-3.576857,Dunkeld,-1,0
2316,55.47701,-2.553002,Jedburgh,-1,0
2317,55.47702,-2.553003,Jedburgh,-1,0
2327,58.612083,-3.539625,Thurso,-1,-1
2331,54.786703,-4.097868,Kirkcudbright,-1,0
2360,55.676506,-4.06639,Strathaven,-1,0
2361,55.676507,-4.0664,Strathaven,-1,0
2429,55.820434,-4.081472,Bothwell,-1,0
2430,56.732739,-2.662082,Brechin,-1,0
2432,57.070908,-7.308168,Isle of Lewis,-1,3
2433,57.601241,-7.163857,Isle of North Uist,-1,3
2437,55.652136,-2.250178,Coldstream,-1,0
2451,56.632196,-4.827398,Ballachulish,-1,0
2464,56.732816,-2.461538,Montrose,-1,0
2470,57.249597,-3.376069,Ballindalloch,-1,0
2471,56.868483,-2.326973,Laurencekirk,-1,0
2477,56.777698,-2.615582,Brechin,-1,0
2486,55.944698,-4.567576,Dumbarton,-1,0
2487,55.944698,-4.567576,Dumbarton,-1,0
2495,55.783346,-4.425421,Barrhead,-1,0
2496,55.781997,-4.26823,Busby,-1,0
2497,55.801686,-4.39035,Barrhead,-1,0
2504,57.425344,-7.363748,Isle of Benbecula,-1,3
2506,55.934674,-4.686063,Port Glasgow,-1,0
2508,55.87606,-4.88837,Wemyss Bay,-1,0
2510,57.406194,-6.20066,Portree,-1,-1
2511,56.688546,-6.094005,Kilchoan,-1,-1
2512,56.955201,-7.489373,Isle of Barra,-1,3
2514,57.604931,-7.162085,Isle of North Uist,-1,3
2523,56.085495,-4.541077,Balfron,-1,0
2525,56.358365,-4.358317,Lochearnhead,-1,0
2526,57.895168,-5.158407,Ullapool,-1,-1
2535,56.555589,-2.585762,Arbroath,-1,0
2543,56.0226,-3.830887,Labert,-1,0
2544,55.546835,-2.841412,Selkirk,-1,0
2546,57.496034,-1.796328,Peterhead,-1,0
2561,55.955262,-3.401527,Kirkliston,-1,0
2566,57.538617,-2.951777,Keith,-1,0
2570,55.976616,-3.606845,Linlithgow,-1,0
2594,56.70888,-2.460069,Montrose,-1,0
2609,55.869777,-2.089797,Eyemouth,-1,0
2615,57.615065,-3.572212,Forres,-1,0
2618,55.32969,-3.44582,Moffat,-1,0
2624,58.116858,-3.652821,Helmsdale,-1,0
2625,55.873777,-3.11726,Bonnyrigg,-1,0
2627,56.591567,-3.339315,Blairgowrie,-1,0
2629,55.242565,-4.859788,Girvan,-1,0
2630,55.545644,-4.662229,Troon,-1,0
2631,55.495238,-4.610706,Prestwick,-1,0
2636,56.228881,-5.075206,Inveraray,-1,0
2637,55.947939,-4.923696,Dunoon,-1,0
2638,56.162295,-3.670092,Dollar,-1,0
2639,56.150058,-3.853344,Menstrie,-1,0
